
                            < M A T L A B (R) >
                  Copyright 1984-2023 The MathWorks, Inc.
                  R2023a (9.14.0.2206163) 64-bit (glnxa64)
                             February 22, 2023

Warning: X does not support locale en_US.UTF-8
 
To get started, type doc.
For product information, visit www.mathworks.com.
 
*************************************************************************************
Solving problem 2013_firL1Linfalph from pass dataset ...
[Matrices A]
	block 1: 20903 x 119412, norm  = 4.0299e+04, sparcity = 3.1880e-02
	total: 20903 x 119412, norm = 4.0299e+04, sparcity = 3.1880e-02
[Cone]
	block 1: 'q' [ 3 3 3 3 3 ... 3 3 3 3 3 ]
		(Cartesian product of 39804 cones with sizes ranging from 3 to 3)
System_opt = 2
Number of dense rows: 1001
Number of sparse rows: 19902
Number of dense columns (new At): 0
Number of sparse columns (new At): 180119
Number of non-zero elements in lhs_structure: 19902
 iter     sig     pobj     dobj  gaporg pinforg dinforg       F    tau1    tau2   CGres  nt_res  smooth    step 
  132 1.0e+00 -3.3e+00 -3.3e+00 2.6e-06 1.1e-09 8.1e-08 1.4e-07 9.8e-07 4.1e-05 9.9e-18 1.1e-17 1.0e-15 1.0e+00 
  133 1.0e+00 -3.3e+00 -3.3e+00 2.7e-06 4.5e-10 3.5e-04 6.1e-04 1.8e-08 3.1e-06 9.7e-17 1.2e-16 1.0e-15 5.9e-01 
  134 1.0e+00 -3.3e+00 -3.3e+00 1.8e-06 7.3e-11 5.3e-05 9.1e-05 1.6e-07 2.6e-05 6.5e-18 5.7e-16 1.0e-15 1.0e+00 
  135 1.0e+00 -3.3e+00 -3.3e+00 2.1e-06 5.7e-10 8.5e-08 1.4e-07 2.1e-06 4.8e-05 3.6e-18 6.3e-17 1.0e-15 1.0e+00 
  136 1.0e+00 -3.3e+00 -3.3e+00 2.3e-06 2.5e-10 5.2e-04 8.9e-04 1.3e-08 2.1e-06 1.5e-16 2.3e-16 1.0e-15 5.9e-01 
  137 1.0e+00 -3.3e+00 -3.3e+00 1.0e-06 8.8e-11 3.6e-05 6.3e-05 1.5e-07 2.0e-05 9.9e-18 7.4e-16 1.0e-15 1.0e+00 
  138 1.0e+00 -3.3e+00 -3.3e+00 2.0e-06 7.6e-10 2.0e-05 3.4e-05 1.1e-06 2.9e-05 7.7e-18 7.2e-17 1.0e-15 1.0e+00 
  139 1.0e+00 -3.3e+00 -3.3e+00 1.9e-06 3.1e-10 7.3e-07 1.3e-06 1.2e-06 3.6e-05 2.5e-18 3.4e-17 1.0e-15 1.0e+00 
 iter     sig     pobj     dobj  gaporg pinforg dinforg       F    tau1    tau2   CGres  nt_res  smooth    step 
  140 1.0e+00 -3.3e+00 -3.3e+00 1.9e-06 1.4e-10 1.9e-04 3.2e-04 4.8e-08 4.1e-06 4.9e-16 1.6e-15 1.0e-15 5.9e-01 
  141 1.0e+00 -3.3e+00 -3.3e+00 1.5e-06 7.1e-12 4.2e-05 7.3e-05 5.7e-08 1.4e-05 3.5e-18 7.5e-16 1.0e-15 1.0e+00 
  142 1.0e+00 -3.3e+00 -3.3e+00 1.6e-06 9.2e-11 1.6e-05 2.7e-05 1.2e-06 3.1e-05 1.2e-18 5.7e-17 1.0e-15 1.0e+00 
  143 1.0e+00 -3.3e+00 -3.3e+00 1.7e-06 2.0e-10 1.2e-05 2.1e-05 1.0e-06 3.4e-05 2.0e-18 1.6e-17 1.0e-15 9.0e-01 
  144 1.0e+00 -3.3e+00 -3.3e+00 1.6e-06 4.3e-10 4.5e-08 7.6e-08 1.3e-06 4.8e-05 2.3e-18 1.6e-17 1.0e-15 1.0e+00 
  145 1.0e+00 -3.3e+00 -3.3e+00 1.7e-06 1.8e-10 2.9e-04 5.0e-04 1.3e-08 2.7e-06 6.0e-17 7.8e-17 1.0e-15 5.9e-01 
  146 1.0e+00 -3.3e+00 -3.3e+00 6.9e-07 1.3e-11 4.0e-05 6.9e-05 1.3e-07 2.5e-05 3.0e-18 1.3e-15 1.0e-15 1.0e+00 
  147 1.0e+00 -3.3e+00 -3.3e+00 1.2e-06 1.4e-10 6.6e-08 1.1e-07 1.8e-06 4.6e-05 1.3e-18 4.2e-17 1.0e-15 1.0e+00 
  148 1.0e+00 -3.3e+00 -3.3e+00 1.3e-06 5.7e-11 4.4e-04 7.6e-04 1.2e-08 2.0e-06 1.1e-15 7.3e-16 1.0e-15 5.9e-01 
  149 1.0e+00 -3.3e+00 -3.3e+00 2.0e-07 4.8e-10 3.7e-05 6.3e-05 1.4e-07 2.0e-05 5.5e-17 1.9e-15 1.0e-15 1.0e+00 
  150 1.0e+00 -3.3e+00 -3.3e+00 9.0e-07 3.5e-09 2.0e-05 3.4e-05 1.2e-06 3.0e-05 3.3e-17 1.1e-16 1.0e-15 1.0e+00 
  151 1.0e+00 -3.3e+00 -3.3e+00 8.9e-07 5.7e-10 1.5e-05 2.6e-05 1.2e-06 3.8e-05 4.2e-18 4.9e-17 1.0e-15 1.0e+00 
  152 1.0e+00 -3.3e+00 -3.3e+00 8.4e-07 8.3e-11 3.4e-08 5.7e-08 1.5e-06 5.2e-05 4.3e-19 1.1e-17 1.0e-15 1.0e+00 

time =

  509.6293

iter: 152, time: 5.10e+02
